f_of_S,Queries,Time,k,n,nproc,trial
470337.3185390417,57559,3.388284206390381,1000.0,42055,16,1
470205.43805978046,57246,3.124235153198242,1000.0,42055,16,2
470337.3185390417,57559,40.898574113845825,1000.0,42055,1,1
470205.43805978046,57246,41.3670699596405,1000.0,42055,1,2
470337.3185390417,57559,21.00525999069214,1000.0,42055,2,1
470205.43805978046,57246,20.9454128742218,1000.0,42055,2,2
470337.3185390417,57559,2.05509614944458,1000.0,42055,32,1
470205.43805978046,57246,2.0227949619293213,1000.0,42055,32,2
470337.3185390417,57559,10.350306034088135,1000.0,42055,4,1
470205.43805978046,57246,10.26789903640747,1000.0,42055,4,2
470337.3185390417,57559,2.7131190299987793,1000.0,42055,64,1
470205.43805978046,57246,2.6862471103668213,1000.0,42055,64,2
470337.3185390417,57559,5.969112873077393,1000.0,42055,8,1
470205.43805978046,57246,5.905802011489868,1000.0,42055,8,2
