f_of_S,Queries,Time,k,n,nproc,trial
1500,315265,16.183932065963745,100,100000,75,1
1499,315265,16.21759796142578,100,100000,75,2
1498,315265,16.241262912750244,100,100000,75,3
1500,315265,16.221621990203857,100,100000,75,4
1497,315265,15.818655967712402,100,100000,75,5
2583,506913,27.39943289756775,200,100000,75,1
2588,506861,27.41647219657898,200,100000,75,2
2590,506919,27.250983953475952,200,100000,75,3
2593,506819,27.4726619720459,200,100000,75,4
2593,506955,27.25711488723755,200,100000,75,5
5640,102719,4.635490894317627,400,100000,75,1
5649,102690,4.690307140350342,400,100000,75,2
5648,102715,4.703775882720947,400,100000,75,3
5657,102758,4.7123072147369385,400,100000,75,4
5645,102745,4.7226221561431885,400,100000,75,5
10632,344099,27.312648057937622,800,100000,75,1
10640,503356,37.455885887145996,800,100000,75,2
10581,503188,37.1159610748291,800,100000,75,3
10682,344048,27.537127017974854,800,100000,75,4
10622,328713,24.875519037246704,800,100000,75,5
19052,603351,58.636271953582764,1600,100000,75,1
19072,465112,46.47915601730347,1600,100000,75,2
19063,603388,58.8285129070282,1600,100000,75,3
19103,602877,58.84257507324219,1600,100000,75,4
19065,602575,58.87754702568054,1600,100000,75,5
37679,582561,84.40021204948425,3200,100000,75,1
37616,582554,84.0672619342804,3200,100000,75,2
37636,583108,84.29764890670776,3200,100000,75,3
37645,583244,84.4779257774353,3200,100000,75,4
37642,582494,84.36059999465942,3200,100000,75,5
70456,332256,75.44824290275574,6400,100000,75,1
70536,333642,75.94354677200317,6400,100000,75,2
70634,330761,75.29834580421448,6400,100000,75,3
70546,332378,75.1965401172638,6400,100000,75,4
70550,328971,75.05370688438416,6400,100000,75,5
93883,390396,140.02538895606995,10000,100000,75,1
93951,384277,138.4413468837738,10000,100000,75,2
93964,385851,138.6899869441986,10000,100000,75,3
93946,387363,139.26660704612732,10000,100000,75,4
93827,391489,140.83299589157104,10000,100000,75,5
