f_of_S,Queries,Time,k,n,nproc,trial
62850,119235,20.756301164627075,1000.0,100000,16,1
62850,119513,20.43677282333374,1000.0,100000,16,2
62850,119235,201.76381993293762,1000.0,100000,1,1
62850,119513,202.76423692703247,1000.0,100000,1,2
62850,119235,100.7758400440216,1000.0,100000,2,1
62850,119513,101.15854287147522,1000.0,100000,2,2
62850,119235,16.494653940200806,1000.0,100000,32,1
62850,119513,16.93336009979248,1000.0,100000,32,2
62850,119235,51.72312808036804,1000.0,100000,4,1
62850,119513,51.912445068359375,1000.0,100000,4,2
62850,119235,13.667999029159546,1000.0,100000,64,1
62850,119513,13.761783123016357,1000.0,100000,64,2
62850,119235,28.045194149017334,1000.0,100000,8,1
62850,119513,28.379717111587524,1000.0,100000,8,2
