f_of_S,Queries,Time,k,n,nproc,trial
1522,100104,4.439624,100,100000,75,1
2922,100236,4.841759,200,100000,75,1
5722,100518,5.840929,400,100000,75,1
11142,101379,9.780677,800,100000,75,1
21542,103935,25.070527,1600,100000,75,1
41212,119982,177.386214,3200,100000,75,1
75356,214340,1819.013739,6400,100000,75,1
96384,289725,3071.992982,10000,100000,75,1
