f_of_S,Queries,Time,k,n,nproc,trial
13121,120943,10.48966097831726,1000.0,100000,16,1
13065,122846,11.09431505203247,1000.0,100000,16,2
13121,120943,141.79411792755127,1000.0,100000,1,1
13065,122846,148.267431974411,1000.0,100000,1,2
13121,120943,72.57361507415771,1000.0,100000,2,1
13065,122846,76.02299499511719,1000.0,100000,2,2
13121,120943,8.036174058914185,1000.0,100000,32,1
13065,122846,7.06411600112915,1000.0,100000,32,2
13121,120943,37.47648000717163,1000.0,100000,4,1
13065,122846,38.75683403015137,1000.0,100000,4,2
13121,120943,7.240063905715942,1000.0,100000,64,1
13065,122846,7.851572036743164,1000.0,100000,64,2
13121,120943,19.79575800895691,1000.0,100000,8,1
13065,122846,20.83293890953064,1000.0,100000,8,2
